row,col,data
1930,2558,1.0
9269,382,1.0
9043,635,1.0
7337,5096,1.0
9601,252,1.0
1591,1780,1.0
6676,370,1.0
12299,245,1.0
4529,5840,1.0
2090,160,1.0
10045,104,1.0
4287,1154,1.0
8624,6238,1.0
11044,18716,1.0
5369,19648,1.0
8686,1401,1.0
5076,515,1.0
3040,3202,1.0
10090,923,1.0
6342,1786,1.0
5643,610,1.0
9057,234,1.0
2092,553,1.0
1690,16959,1.0
866,417,1.0
1948,808,1.0
12042,1200,1.0
5848,336,1.0
1912,788,1.0
8704,8684,1.0
5259,178,1.0
6261,674,1.0
2006,3150,1.0
7157,8625,1.0
12427,22125,1.0
5340,1009,1.0
5306,3071,1.0
17,99,1.0
3075,2769,1.0
10927,638,1.0
5713,2335,1.0
2231,381,1.0
10162,2845,1.0
10727,3666,1.0
6567,18327,1.0
8445,1460,1.0
6959,988,1.0
992,2103,1.0
6239,5334,1.0
1258,637,1.0
956,642,1.0
6615,2199,1.0
7969,5020,1.0
4290,678,1.0
5913,314,1.0
9794,1855,1.0
2358,566,1.0
2146,10266,1.0
5481,2204,1.0
2736,1523,1.0
10435,515,1.0
10662,1700,1.0
10616,6835,1.0
969,6917,1.0
6396,9371,1.0
10187,1587,1.0
10485,1515,1.0
1949,2765,1.0
4362,2027,1.0
9696,275,1.0
461,906,1.0
7753,382,1.0
6517,2881,1.0
6403,3653,1.0
11103,5043,1.0
6287,83,1.0
8970,4237,1.0
7363,22216,1.0
11206,1390,1.0
9297,2369,1.0
6294,1012,1.0
11221,1064,1.0
7358,6651,1.0
1675,2803,1.0
1943,2832,1.0
853,1615,1.0
7593,645,1.0
5444,274,1.0
8041,4544,1.0
12626,11043,1.0
1908,253,1.0
3838,813,1.0
9866,227,1.0
2340,1990,1.0
509,819,1.0
11999,1951,1.0
7102,1714,1.0
11002,8,1.0
805,513,1.0
1168,11820,1.0
10037,828,1.0
5821,3953,1.0
6735,2649,1.0
11483,118,1.0
11276,4317,1.0
6613,1475,1.0
4808,731,1.0
6616,401,1.0
752,2678,1.0
5520,167,1.0
7374,1154,1.0
10119,1460,1.0
3827,408,1.0
5165,381,1.0
3963,1447,1.0
8057,891,1.0
7771,250,1.0
4527,4065,1.0
7696,1801,1.0
2096,989,1.0
7077,3183,1.0
5434,2453,1.0
1808,3630,1.0
8070,1119,1.0
3793,12591,1.0
9866,623,1.0
7694,1143,1.0
7019,17677,1.0
10169,572,1.0
12096,10233,1.0
10502,4527,1.0
969,20107,1.0
8399,1620,1.0
8707,395,1.0
11282,2422,1.0
4276,47,1.0
11282,4399,1.0
10030,13487,1.0
7026,164,1.0
7777,5160,1.0
1289,727,1.0
10202,141,1.0
4724,703,1.0
8690,15850,1.0
6974,209,1.0
8482,780,1.0
11884,2145,1.0
7575,91,1.0
12161,7454,1.0
3040,6484,1.0
11105,286,1.0
7545,5096,1.0
695,4644,1.0
12616,1778,1.0
7858,2827,1.0
11898,1454,1.0
5291,515,1.0
2607,3059,1.0
10347,12672,1.0
157,16351,1.0
8281,1061,1.0
218,2003,1.0
2732,326,1.0
6245,439,1.0
4002,4114,1.0
6252,7769,1.0
2680,912,1.0
7872,2095,1.0
1748,994,1.0
2316,2167,1.0
11081,2599,1.0
7453,1319,1.0
3332,2325,1.0
8829,814,1.0
12626,5412,1.0
10496,2999,1.0
2966,435,1.0
7250,3891,1.0
8543,339,1.0
4533,190,1.0
4316,1222,1.0
3075,11633,1.0
4979,782,1.0
9886,7594,1.0
1612,655,1.0
1912,4842,1.0
8162,5893,1.0
4556,660,1.0
4007,1949,1.0
1537,1971,1.0
7412,1658,1.0
4692,76,1.0
932,746,1.0
6104,11164,1.0
646,193,1.0
9500,4770,1.0
7541,5427,1.0
6450,243,1.0
8888,4895,1.0
2721,1576,1.0
7006,5009,1.0
4086,23,1.0
7581,3544,1.0
1297,43,1.0
3609,1765,1.0
3521,848,1.0
1014,313,1.0
7988,1767,1.0
3210,1390,1.0
1671,3761,1.0
3024,683,1.0
7993,3995,1.0
2237,3378,1.0
5366,1907,1.0
6259,26,1.0
3051,332,1.0
1948,555,1.0
9202,688,1.0
10717,228,1.0
2917,430,1.0
8147,2309,1.0
9791,347,1.0
4887,701,1.0
6320,77,1.0
587,8237,1.0
10576,2418,1.0
10571,1517,1.0
1042,1457,1.0
588,1606,1.0
654,664,1.0
1957,3217,1.0
10453,2795,1.0
10167,2513,1.0
6998,1578,1.0
10187,544,1.0
8933,547,1.0
3898,997,1.0
2252,1856,1.0
3558,1624,1.0
1043,1143,1.0
9245,1278,1.0
26,2030,1.0
6603,4820,1.0
11275,4334,1.0
5384,1258,1.0
3343,1708,1.0
1032,1115,1.0
3873,726,1.0
5602,820,1.0
7864,8188,1.0
12426,790,1.0
6954,836,1.0
7577,5115,1.0
2635,11224,1.0
6154,7985,1.0
6327,263,1.0
8539,2134,1.0
7625,1363,1.0
12106,2746,1.0
2842,1310,1.0
4379,1131,1.0
7335,923,1.0
10616,5804,1.0
10887,20198,1.0
5702,2223,1.0
10966,1665,1.0
7503,2566,1.0
3481,19,1.0
5564,350,1.0
8509,263,1.0
11988,1328,1.0
3303,1909,1.0
8411,5,1.0
11236,802,1.0
9651,1954,1.0
923,5298,1.0
10986,247,1.0
5819,117,1.0
189,4260,1.0
11252,1215,1.0
7441,3130,1.0
4425,231,1.0
11348,291,1.0
1536,3013,1.0
12626,14180,1.0
8357,16732,1.0
2244,1392,1.0
10892,2306,1.0
8359,20094,1.0
9171,40,1.0
3883,2825,1.0
3634,8094,1.0
4246,2893,1.0
6234,1525,1.0
2475,3772,1.0
1585,2463,1.0
1671,1664,1.0
1723,1014,1.0
7250,290,1.0
11657,3004,1.0
7623,2522,1.0
10060,8160,1.0
12614,1422,1.0
10369,1640,1.0
9596,9995,1.0
6738,2383,1.0
7993,7689,1.0
11684,1976,1.0
7649,218,1.0
2137,437,1.0
12157,384,1.0
9051,1640,1.0
11035,789,1.0
7777,4768,1.0
1441,2967,1.0
3037,99,1.0
9626,153,1.0
11022,1927,1.0
10302,1311,1.0
11261,3673,1.0
931,766,1.0
6610,2233,1.0
956,580,1.0
8809,11150,1.0
6227,5549,1.0
6329,1411,1.0
2426,1372,1.0
4416,8206,1.0
10687,4604,1.0
2642,8298,1.0
917,1301,1.0
11030,1999,1.0
9012,583,1.0
3279,101,1.0
7850,6249,1.0
5947,933,1.0
9094,3108,1.0
4491,1398,1.0
7639,1673,1.0
6221,9067,1.0
7773,1754,1.0
6567,6987,1.0
10530,14240,1.0
3108,172,1.0
3836,808,1.0
7538,3909,1.0
4625,795,1.0
3183,10889,1.0
89,445,1.0
10150,435,1.0
3279,324,1.0
8010,3777,1.0
10315,4862,1.0
12064,1919,1.0
1659,1094,1.0
3823,1966,1.0
1477,1029,1.0
9593,8189,1.0
10541,2898,1.0
12102,1313,1.0
2214,1217,1.0
3889,958,1.0
7363,5765,1.0
10426,1188,1.0
3626,1776,1.0
6937,1216,1.0
2780,5187,1.0
6947,1028,1.0
5783,2041,1.0
1363,1097,1.0
6746,1890,1.0
85,287,1.0
420,6813,1.0
2034,884,1.0
8052,8683,1.0
9782,3881,1.0
1759,4460,1.0
4067,8919,1.0
9973,219,1.0
5017,13630,1.0
9503,2454,1.0
8905,1202,1.0
7306,845,1.0
665,3235,1.0
9912,18237,1.0
9152,230,1.0
1939,7732,1.0
891,217,1.0
10549,185,1.0
10347,10925,1.0
2917,3472,1.0
3937,2438,1.0
6917,488,1.0
3238,5069,1.0
12288,13416,1.0
5752,1194,1.0
11890,883,1.0
4326,2535,1.0
11710,1020,1.0
2028,2375,1.0
807,62,1.0
6827,30,1.0
2601,3994,1.0
8915,2763,1.0
2125,683,1.0
9694,1477,1.0
12526,1158,1.0
5722,3268,1.0
64,2285,1.0
8364,1130,1.0
9733,9309,1.0
3118,3451,1.0
1690,5313,1.0
11628,1753,1.0
8686,383,1.0
1915,1046,1.0
12604,1677,1.0
2346,1426,1.0
5017,16958,1.0
4405,2425,1.0
11508,13810,1.0
6318,5707,1.0
8779,2140,1.0
7487,6058,1.0
3148,9883,1.0
7862,19824,1.0
146,3345,1.0
310,697,1.0
596,370,1.0
12445,21712,1.0
10518,1336,1.0
3042,2866,1.0
11311,3833,1.0
12402,1616,1.0
3463,5703,1.0
9448,863,1.0
1950,1874,1.0
4597,2075,1.0
8166,15459,1.0
11076,1790,1.0
11399,1444,1.0
10005,3242,1.0
9231,263,1.0
12190,885,1.0
7659,1279,1.0
277,1303,1.0
12000,3537,1.0
1363,4239,1.0
9006,2657,1.0
2461,4168,1.0
10842,2696,1.0
6615,7216,1.0
12439,1440,1.0
8082,2685,1.0
8174,1548,1.0
3988,6946,1.0
2634,662,1.0
1797,804,1.0
8465,15480,1.0
173,49,1.0
12472,389,1.0
10042,285,1.0
3963,748,1.0
5149,762,1.0
10824,5157,1.0
7471,2995,1.0
5271,6574,1.0
12475,606,1.0
3965,562,1.0
56,2354,1.0
7637,110,1.0
12619,3119,1.0
355,410,1.0
10370,7438,1.0
5416,218,1.0
10060,8188,1.0
1943,222,1.0
4962,21304,1.0
5652,15029,1.0
12426,4030,1.0
10310,1827,1.0
12053,796,1.0
5226,11840,1.0
3260,4247,1.0
9326,1268,1.0
9422,800,1.0
11881,78,1.0
12565,7351,1.0
11581,1354,1.0
4379,1449,1.0
4840,7207,1.0
8720,725,1.0
7058,891,1.0
1978,1169,1.0
2717,6185,1.0
7505,2049,1.0
10740,9545,1.0
5087,1175,1.0
2798,2854,1.0
5630,4675,1.0
2237,10064,1.0
5851,9391,1.0
7257,6773,1.0
5753,702,1.0
6089,4372,1.0
3531,3096,1.0
8544,22078,1.0
10230,2228,1.0
4352,1503,1.0
441,51,1.0
7642,8549,1.0
12032,9721,1.0
4760,12,1.0
3292,8598,1.0
12480,2741,1.0
4346,1332,1.0
7525,422,1.0
860,1286,1.0
12513,6717,1.0
9043,480,1.0
7187,8417,1.0
4395,875,1.0
11177,1858,1.0
3722,1926,1.0
8399,422,1.0
6075,6238,1.0
4680,3881,1.0
5609,3565,1.0
8107,1632,1.0
5571,2933,1.0
2391,87,1.0
11215,7393,1.0
5333,8327,1.0
12616,589,1.0
9503,2123,1.0
5306,10968,1.0
11930,4654,1.0
10234,613,1.0
218,37,1.0
2869,3910,1.0
7591,4470,1.0
6613,2067,1.0
4400,4154,1.0
1010,1180,1.0
969,7381,1.0
1442,637,1.0
11332,1598,1.0
6301,613,1.0
8010,11688,1.0
9610,2293,1.0
12626,19946,1.0
10227,1375,1.0
7386,9662,1.0
11857,2842,1.0
8748,1271,1.0
2760,8624,1.0
7367,5839,1.0
4149,2591,1.0
9851,3211,1.0
4881,99,1.0
9005,5412,1.0
6055,325,1.0
2268,1244,1.0
8560,7790,1.0
12563,1164,1.0
12486,3280,1.0
5399,7585,1.0
831,1386,1.0
2182,9570,1.0
7538,5412,1.0
11249,822,1.0
1769,604,1.0
6178,4141,1.0
1271,2169,1.0
11775,341,1.0
12506,7418,1.0
10474,7854,1.0
59,1906,1.0
1388,121,1.0
4010,2072,1.0
11884,3905,1.0
9767,843,1.0
10966,864,1.0
7088,19068,1.0
3042,12177,1.0
4407,1741,1.0
12503,1255,1.0
7374,2527,1.0
6641,2399,1.0
10743,7747,1.0
1717,7455,1.0
384,2498,1.0
11850,15642,1.0
12526,4842,1.0
12186,14188,1.0
7951,2232,1.0
5348,741,1.0
9287,3365,1.0
8800,4089,1.0
9237,3027,1.0
7334,3638,1.0
11172,9068,1.0
2578,2506,1.0
8888,5792,1.0
3850,2622,1.0
7322,9347,1.0
560,51,1.0
10563,6228,1.0
3292,258,1.0
5847,6763,1.0
11199,2412,1.0
5497,1772,1.0
1347,510,1.0
2300,7961,1.0
7665,1264,1.0
11545,6543,1.0
8619,731,1.0
1749,352,1.0
10798,2420,1.0
840,5960,1.0
12530,239,1.0
5111,8156,1.0
2696,9102,1.0
1724,1178,1.0
3080,2761,1.0
8044,2161,1.0
1419,845,1.0
10748,2612,1.0
4393,1652,1.0
8892,398,1.0
11344,249,1.0
3042,5960,1.0
4818,553,1.0
10920,1808,1.0
5154,7742,1.0
1379,4555,1.0
9596,12225,1.0
2584,2863,1.0
3853,4999,1.0
6650,411,1.0
4373,3157,1.0
1532,505,1.0
10370,6866,1.0
9886,3791,1.0
202,4952,1.0
734,127,1.0
9934,611,1.0
5332,17278,1.0
3919,5201,1.0
10919,2305,1.0
5783,21723,1.0
11545,12244,1.0
7533,2316,1.0
12355,1367,1.0
2437,8755,1.0
6996,1027,1.0
2037,1654,1.0
6477,2748,1.0
4007,16484,1.0
2239,3195,1.0
8275,8746,1.0
4416,6822,1.0
11912,1111,1.0
7407,324,1.0
9718,365,1.0
3748,2970,1.0
10160,4829,1.0
12218,4557,1.0
6241,5290,1.0
9565,4333,1.0
4774,5766,1.0
2468,415,1.0
8174,4524,1.0
40,2043,1.0
6990,687,1.0
10010,2446,1.0
6635,2398,1.0
12244,482,1.0
10662,4045,1.0
2823,1152,1.0
3278,11482,1.0
5604,1746,1.0
11824,2762,1.0
1043,1573,1.0
460,1981,1.0
6715,132,1.0
2760,8837,1.0
11047,897,1.0
4732,1147,1.0
7098,1167,1.0
141,4269,1.0
9954,491,1.0
11061,1066,1.0
9903,882,1.0
10284,3869,1.0
1485,746,1.0
2564,1459,1.0
10403,11053,1.0
6640,655,1.0
3520,1108,1.0
4901,2321,1.0
4397,5522,1.0
2450,3,1.0
7916,22069,1.0
11704,678,1.0
2678,1316,1.0
3233,255,1.0
1325,2332,1.0
488,2488,1.0
7538,967,1.0
3147,237,1.0
283,1884,1.0
5390,2447,1.0
10848,2272,1.0
6667,516,1.0
5600,268,1.0
11082,964,1.0
12130,4995,1.0
2706,3070,1.0
5891,1445,1.0
3069,91,1.0
2267,5490,1.0
7648,122,1.0
12392,857,1.0
2189,352,1.0
2132,1022,1.0
5705,598,1.0
11282,10806,1.0
10798,12917,1.0
1096,3177,1.0
5287,885,1.0
6811,14228,1.0
2545,1425,1.0
1082,2372,1.0
5052,21814,1.0
7986,11183,1.0
5077,10290,1.0
786,2085,1.0
6127,661,1.0
6108,5085,1.0
8620,864,1.0
8412,1578,1.0
1880,11055,1.0
3093,2257,1.0
10485,5468,1.0
9448,185,1.0
6712,1727,1.0
4069,18572,1.0
11035,3559,1.0
287,1445,1.0
2694,1552,1.0
931,1143,1.0
5033,1608,1.0
2117,1506,1.0
3753,416,1.0
6329,2831,1.0
3126,1532,1.0
128,1254,1.0
7363,6847,1.0
1129,3052,1.0
412,805,1.0
11399,5456,1.0
2811,5670,1.0
3464,6190,1.0
7506,532,1.0
7743,297,1.0
2117,19596,1.0
8510,2512,1.0
7385,2223,1.0
980,9457,1.0
8743,1866,1.0
7557,4762,1.0
2947,2244,1.0
7147,567,1.0
966,7840,1.0
5187,849,1.0
8139,208,1.0
1466,1266,1.0
627,3223,1.0
2216,2347,1.0
1464,3080,1.0
5103,4876,1.0
8690,1034,1.0
218,4343,1.0
6055,2974,1.0
9450,997,1.0
5633,2570,1.0
4886,2233,1.0
4311,6785,1.0
9880,1710,1.0
7276,2385,1.0
281,809,1.0
1708,633,1.0
7016,6868,1.0
5126,1877,1.0
2006,6257,1.0
7570,2660,1.0
6815,697,1.0
3127,2921,1.0
6261,5946,1.0
11561,49,1.0
2866,910,1.0
11916,5403,1.0
677,233,1.0
6285,462,1.0
10235,3036,1.0
8553,178,1.0
1668,629,1.0
11296,3243,1.0
1016,1487,1.0
2517,230,1.0
4414,1472,1.0
6636,1407,1.0
5976,3531,1.0
10423,2133,1.0
2717,16084,1.0
310,424,1.0
8961,6316,1.0
11287,827,1.0
7239,1805,1.0
7969,2660,1.0
2111,5062,1.0
2975,21999,1.0
122,7976,1.0
5303,5999,1.0
587,3644,1.0
9231,13,1.0
4132,2408,1.0
4083,11074,1.0
2717,20578,1.0
8083,3001,1.0
5590,5584,1.0
4564,2966,1.0
7864,11522,1.0
6585,18776,1.0
8211,3420,1.0
3826,139,1.0
11886,1051,1.0
8761,5731,1.0
11780,10842,1.0
5723,4490,1.0
881,4677,1.0
11988,6882,1.0
1096,6293,1.0
431,559,1.0
1062,1689,1.0
1480,3401,1.0
1391,1175,1.0
2594,1472,1.0
11589,3599,1.0
477,751,1.0
6049,689,1.0
7352,334,1.0
3753,17636,1.0
6582,2103,1.0
4774,3013,1.0
6913,521,1.0
6126,8737,1.0
11898,7150,1.0
8109,6429,1.0
76,6847,1.0
7659,1412,1.0
3860,10189,1.0
10399,16065,1.0
7541,6660,1.0
6952,658,1.0
8939,3984,1.0
3180,539,1.0
11215,1578,1.0
12248,13414,1.0
188,274,1.0
1339,1004,1.0
230,539,1.0
5007,11709,1.0
10324,218,1.0
2673,1490,1.0
4621,566,1.0
3230,1445,1.0
2287,777,1.0
2227,1779,1.0
2469,4054,1.0
8792,2917,1.0
4470,1737,1.0
3649,12181,1.0
7649,2569,1.0
11648,9959,1.0
12405,1932,1.0
3892,157,1.0
5956,1359,1.0
10428,14389,1.0
9667,1423,1.0
11967,20170,1.0
6051,2566,1.0
282,516,1.0
8385,422,1.0
7698,2063,1.0
2213,1828,1.0
2186,706,1.0
4170,1154,1.0
11206,1195,1.0
2816,5422,1.0
9746,1625,1.0
2559,4887,1.0
3338,9678,1.0
2258,420,1.0
11912,2008,1.0
7440,1415,1.0
7832,4972,1.0
1007,1689,1.0
7593,4539,1.0
7557,430,1.0
2137,1783,1.0
900,8566,1.0
2034,1052,1.0
2708,3151,1.0
5133,462,1.0
4536,5360,1.0
2888,1928,1.0
2578,22028,1.0
12331,1159,1.0
7916,9038,1.0
11908,6105,1.0
2219,1229,1.0
5478,1865,1.0
1255,17972,1.0
8499,1703,1.0
3700,12333,1.0
11456,300,1.0
7367,4519,1.0
12473,2219,1.0
4032,3186,1.0
4205,11286,1.0
11235,113,1.0
6002,99,1.0
7059,4540,1.0
5968,5993,1.0
524,1165,1.0
9163,6236,1.0
6393,191,1.0
7850,15181,1.0
1208,377,1.0
1661,3102,1.0
4275,2068,1.0
8941,6670,1.0
4582,2115,1.0
1452,1877,1.0
3586,1548,1.0
7244,1832,1.0
7184,8638,1.0
3577,4014,1.0
8499,2698,1.0
11607,2809,1.0
6802,4318,1.0
7944,552,1.0
26,6957,1.0
2106,4927,1.0
12002,3760,1.0
4587,222,1.0
3042,5157,1.0
3460,1256,1.0
4682,34,1.0
6064,488,1.0
10094,3570,1.0
6139,14991,1.0
11917,9270,1.0
8800,17985,1.0
3870,1750,1.0
5702,953,1.0
6639,4103,1.0
7216,2032,1.0
5939,6838,1.0
8854,1116,1.0
731,638,1.0
6919,1977,1.0
3299,3274,1.0
4413,2878,1.0
751,1659,1.0
11912,3974,1.0
7448,3218,1.0
11641,15637,1.0
7340,2453,1.0
10280,11092,1.0
5764,1479,1.0
9008,4664,1.0
6801,1425,1.0
3793,2875,1.0
670,1035,1.0
660,5962,1.0
7774,1305,1.0
1272,2056,1.0
9514,2626,1.0
10635,7540,1.0
8808,1200,1.0
9103,671,1.0
677,3775,1.0
4993,13992,1.0
1500,253,1.0
10836,3703,1.0
10290,1592,1.0
4529,6886,1.0
1263,445,1.0
7295,8437,1.0
236,2543,1.0
6223,4279,1.0
1423,21,1.0
6111,2453,1.0
727,263,1.0
3108,1386,1.0
957,20,1.0
9347,2243,1.0
3295,1106,1.0
8761,10378,1.0
7382,157,1.0
11809,1818,1.0
731,9848,1.0
6972,1019,1.0
1169,5802,1.0
5499,6334,1.0
7806,17903,1.0
11665,3944,1.0
4575,17488,1.0
7521,176,1.0
9543,1309,1.0
5451,351,1.0
3197,21525,1.0
7988,18854,1.0
1690,9195,1.0
963,3813,1.0
1022,3090,1.0
659,1053,1.0
5782,9400,1.0
5,12522,1.0
6155,7902,1.0
5077,13782,1.0
3566,13370,1.0
10345,12429,1.0
4101,232,1.0
6070,1556,1.0
1039,2332,1.0
11976,2288,1.0
1928,257,1.0
2912,7228,1.0
3839,18476,1.0
6089,9171,1.0
1659,3106,1.0
5105,2224,1.0
45,126,1.0
4234,277,1.0
7977,6957,1.0
5587,1882,1.0
2441,1778,1.0
1488,2239,1.0
145,1179,1.0
3837,13167,1.0
7284,4800,1.0
9075,1237,1.0
11641,4712,1.0
5555,726,1.0
2182,16067,1.0
8208,3302,1.0
9224,17766,1.0
1413,2459,1.0
11354,4976,1.0
8358,2501,1.0
